Date,Open,High,Low,Close,Adj Close,Volume
2005/1/3,98.798798,101.921921,97.827827,101.456459,101.456459,31656700
2005/1/4,100.800804,101.566566,96.836838,97.347351,97.347351,27484200
2005/1/5,96.821823,98.548546,96.211212,96.851852,96.851852,16456700
2005/1/6,97.637634,98.04805,93.953957,94.36937,94.36937,20753400
2005/1/7,95.415413,97.222221,94.484482,97.022018,97.022018,19306400
2005/1/10,97.347351,99.149147,96.011009,97.627625,97.627625,15064100
2005/1/11,97.907906,98.953957,96.686684,96.866867,96.866867,13903400
2005/1/12,97.26226,98.063065,95.345345,97.787788,97.787788,16339200
2005/1/13,97.787788,98.793793,97.122124,97.762764,97.762764,13685100
2005/1/14,98.098099,100.105103,97.162163,100.085083,100.085083,19261300
2005/1/18,100.585587,102.61261,99.429428,102.052055,102.052055,26318800
2005/1/19,102.427429,102.752754,98.453453,98.748749,98.748749,22492800
2005/1/20,96.346344,98.223221,96.0961,97.05706,97.05706,17985100
2005/1/21,97.367371,97.777779,94.154152,94.234238,94.234238,18498200
2005/1/24,94.439438,94.759758,90.250252,90.450447,90.450447,28017300
2005/1/25,91.061058,91.211212,88.233231,88.648651,88.648651,21297000
2005/1/26,89.724724,94.799797,89.664665,94.714714,94.714714,24591100
2005/1/27,94.474472,94.524521,92.692696,94.134132,94.134132,13241500
2005/1/28,95.105103,97.447449,93.26326,95.265266,95.265266,24391900
2005/1/31,96.94194,98.278275,95.955956,97.907906,97.907906,19174200
2005/2/1,97.287285,98.428429,95.410408,96.046043,96.046043,37640300
2005/2/2,107.882881,108.508507,101.931931,103.083084,103.083084,65533000
2005/2/3,103.098099,106.791794,103.008011,105.535538,105.535538,25950200
2005/2/4,103.338341,103.978981,101.401398,102.28228,102.28228,29608900
2005/2/7,102.732735,103.303307,97.852852,98.113113,98.113113,25894800
2005/2/8,98.578575,100.110107,97.362366,99.419418,99.419418,22937000
2005/2/9,100.480484,100.900902,94.824821,95.885887,95.885887,34308600
2005/2/10,96.081078,96.201202,92.71772,94.084084,94.084084,37927400
2005/2/11,93.423424,96.256256,93.128128,93.793793,93.793793,26205700
2005/2/14,91.516518,96.636635,90.590591,96.591591,96.591591,77047200
2005/2/15,96.896896,100.02002,96.636635,97.712715,97.712715,51514000
2005/2/16,97.447449,99.764763,97.247246,99.304306,99.304306,33031500
2005/2/17,99.014015,99.974976,98.503502,99.049049,99.049049,20807900
2005/2/18,99.354355,99.519516,98.428429,99.074074,99.074074,16954800
2005/2/22,98.348351,99.549553,95.290291,95.780777,95.780777,26940400
2005/2/23,96.74675,97.337334,94.424423,97.072075,97.072075,31140800
2005/2/24,91.776779,95.02002,91.206207,94.539543,94.539543,51576900
2005/2/25,94.66967,95.055054,92.847847,93.02803,93.02803,19927000
2005/2/28,93.093094,95.030029,93.018021,94.089088,94.089088,15621100
2005/3/1,94.739738,94.969971,91.091087,93.123123,93.123123,18603700
2005/3/2,93.068069,93.928932,92.27227,92.682686,92.682686,14556400
2005/3/3,93.158157,93.968971,92.247246,93.598602,93.598602,15201900
2005/3/4,93.443443,93.718719,92.627625,93.043045,93.043045,13534600
2005/3/7,93.983986,94.894897,93.608612,94.499496,94.499496,17317400
2005/3/8,94.644646,95.02002,92.577576,92.692696,92.692696,16076100
2005/3/9,92.197197,92.417419,90.170174,90.765762,90.765762,22698000
2005/3/10,90.595596,90.690689,88.788788,90.080078,90.080078,21899000
2005/3/11,90.31031,90.565567,88.663666,88.988991,88.988991,16040500
2005/3/14,89.254257,89.289291,86.371368,87.582581,87.582581,22270900
2005/3/15,87.73774,90.090088,87.192192,89.394394,89.394394,20823300
2005/3/16,88.438438,89.394394,87.59259,87.887886,87.887886,14198300
2005/3/17,88.653656,89.909912,87.987991,89.734734,89.734734,16504600
2005/3/18,89.494492,90.290291,89.244247,90.110107,90.110107,14165800
2005/3/21,89.724724,91.176178,88.713715,90.530533,90.530533,14952400
2005/3/22,90.680679,91.061058,89.014015,89.389389,89.389389,11252100
2005/3/23,89.074074,90.210213,89.074074,89.579582,89.579582,9680300
2005/3/24,90.440437,90.520523,89.68969,89.714714,89.714714,7402900
2005/3/28,90.930931,92.492493,90.565567,90.800804,90.800804,17458500
2005/3/29,90.615616,91.731735,89.124123,89.874878,89.874878,12933000
2005/3/30,90.410408,90.815819,89.889893,90.315315,90.315315,12459700
2005/3/31,89.064064,90.785789,88.908913,90.345345,90.345345,13523600
2005/4/1,90.97097,91.566566,90.085083,90.110107,90.110107,12351600
2005/4/4,90.065063,92.752754,90.01001,92.73774,92.73774,16136600
2005/4/5,93.958961,95.225227,93.878876,94.379379,94.379379,17455900
2005/4/6,94.714714,94.919922,93.883881,94.704704,94.704704,10494600
2005/4/7,94.484482,97.40741,94.414413,96.976974,96.976974,19365000
2005/4/8,96.94194,97.647644,95.820824,96.121124,96.121124,10222900
2005/4/11,96.64164,97.497498,96.256256,96.711708,96.711708,10810100
2005/4/12,96.596596,97.307304,94.799797,97.07708,97.07708,14624500
2005/4/13,96.831833,97.257256,94.959961,96.561562,96.561562,13098400
2005/4/14,96.731735,97.277275,95.145142,95.820824,95.820824,12293000
2005/4/15,95.145142,95.265266,92.422424,92.59259,92.59259,23131600
2005/4/18,92.382385,94.034035,91.836838,93.578575,93.578575,13087400
2005/4/19,94.759758,96.0961,94.109108,95.795799,95.795799,16843100
2005/4/20,99.389389,100.350349,98.053055,99.149147,99.149147,30872000
2005/4/21,100.31031,102.6026,99.759758,102.212212,102.212212,35468200
2005/4/22,111.561562,112.112114,107.237236,108.013016,108.013016,66343700
2005/4/25,109.01902,112.482483,108.868866,111.876877,111.876877,39640300
2005/4/26,110.220222,111.111115,109.254257,109.484482,109.484482,34509400
2005/4/27,109.104103,110.535538,108.478477,110,110,20509000
2005/4/28,109.859863,111.151154,108.963966,109.834831,109.834831,17348200
2005/4/29,111.066063,111.236237,109.01902,110.110107,110.110107,18322000
2005/5/2,111.136139,111.96196,110.215218,111.256256,111.256256,19515200
2005/5/3,111.036034,114.189186,110.770767,113.208206,113.208206,35524800
2005/5/4,113.728729,115.055054,113.613617,114.364365,114.364365,24142800
2005/5/5,114.424423,114.424423,113.053055,113.603607,113.603607,15004100
2005/5/6,114.314316,114.739738,113.348351,114.124123,114.124123,13514200
2005/5/9,114.114113,114.364365,112.827827,113.123123,113.123123,11062500
2005/5/10,112.847847,114.014015,112.472473,114.014015,114.014015,12678900
2005/5/11,114.599602,116.10611,114.079079,115.760757,115.760757,22934600
2005/5/12,115.520523,116.231232,114.214211,114.474472,114.474472,17878500
2005/5/13,114.704704,115.66066,113.773773,114.734734,114.734734,14816100
2005/5/16,114.954956,115.925926,114.399399,115.64064,115.64064,11351400
2005/5/17,115.395393,116.841843,115.215218,116.681679,116.681679,15602100
2005/5/18,116.921921,120.105103,116.876877,119.699699,119.699699,24599300
2005/5/19,120.290291,120.705704,119.254257,119.709709,119.709709,19413500
2005/5/20,120.725723,120.955956,119.944946,120.925926,120.925926,16310600
2005/5/23,121.701698,129.179184,121.476479,127.852852,127.852852,42733800
